FERRIERES EN GATINAIS;45210
GEMIGNY;45310
GIVRAINES;45300
LE CATELET;2420
CHALANDRY;2270
CHAOURSE;2340
FESMY LE SART;2450
FORESTE;2590
FRESNOY LE GRAND;2230
IRON;2510
JAULGONNE;2850
JONCOURT;2420
LARGNY SUR AUTOMNE;2600
LATILLY;2210
LAVAQUERESSE;2450
LAVERSINE;2600
LEME;2140
LEUILLY SOUS COUCY;2380
LONGPONT;2600
LES SEPTVALLONS;2160
LES SEPTVALLONS;2160
LES SEPTVALLONS;2160
LUZOIR;2500
MARLE;2250
MAYOT;2800
MESNIL ST LAURENT;2720
MOLINCHART;2000
MONCEAU LE WAAST;2840
MONCEAU SUR OISE;2120
MONS EN LAONNOIS;2000
ALAINCOURT;2240
ALLEMANT;2320
AMBLENY;2290
ANNOIS;2480
ARTEMPS;2480
AUTREPPES;2580
BARENTON SUR SERRE;2270
BARISIS AUX BOIS;2700
VALLEES EN CHAMPAGNE;2330
VALLEES EN CHAMPAGNE;2330
BENAY;2440
BERRY AU BAC;2190
BERTHENICOURT;2240
BRIE;2870
BRISSAY CHOIGNY;2240
BUIRONFOSSE;2620
BUSSIARES;2810
CERIZY;2240
CESSIERES;2320
CHARLY SUR MARNE;2310
CHARTEVES;2400
CHATEAU THIERRY;2400
CHERY LES POUILLY;2000
CHERY LES ROZOY;2360
CHEZY EN ORXOIS;2810
CLAMECY;2880
CONTESCOURT;2680
CORCY;2600
COUCY LE CHATEAU AUFFRIQUE;2380
COUCY LA VILLE;2380
COULONGES COHAN;2130
COURBES;2800
COURMELLES;2200
COURTEMONT VARENNES;2850
COUVRELLES;2220
CRECY AU MONT;2380
CREPY;2870
CREZANCY;2650
CROUTTES SUR MARNE;2310
CUFFIES;2880
CUIRY LES IVIERS;2360
DAMMARD;2470
DAMPLEUX;2600
DROIZY;2210
LA FERTE MILON;2460
FILAIN;2000
LA FLAMENGRIE;2260
FOURDRAIN;2870
GRANDRIEUX;2360
GUYENCOURT;2160
HANNAPES;2510
HAPPENCOURT;2480
MONTESCOURT LIZEROLLES;2440
MONTHIERS;2400
CUIRY HOUSSE;2220
DOMMIERS;2600
EPAGNY;2290
L EPINE AUX BOIS;2540
ESSIGNY LE GRAND;2690
ETREILLERS;2590
EVERGNICOURT;2190
FERE EN TARDENOIS;2130
FONSOMME;2110
FONTAINE NOTRE DAME;2110
FRIERES FAILLOUEL;2700
FROIDESTREES;2260
GANDELU;2810
GAUCHY;2430
GUIGNICOURT;2190
HAUTEVESNES;2810
LES SEPTVALLONS;2160
LES SEPTVALLONS;2160
MARCHAIS;2350
VOISSAY;17400
ASSIGNY;18260
BANNAY;18300
BERRY BOUY;18500
BRECY;18220
COUST;18210
FAVERDINES;18360
FOECY;18500
GIVARDON;18600
GROISES;18140
HENRICHEMONT;18250
HUMBLIGNY;18250
IDS ST ROCH;18170
LURY SUR ARNON;18120
MEREAU;18120
MORNAY SUR ALLIER;18600
NEUVY SUR BARANGEON;18330
ORVAL;18200
PLOU;18290
POISIEUX;18290
PRIMELLES;18400
QUINCY;18120
REZAY;18170
SAGONNE;18600
ST AMBROIX;18290
ST BOUIZE;18300
ST DENIS DE PALIN;18130
ST ELOY DE GY;18110
ST LOUP DES CHAUMES;18190
ST MARTIN D AUXIGNY;18110
ST MICHEL DE VOLANGIS;18390
ST PALAIS;18110
ST SATUR;18300
STE THORETTE;18500
ST VITTE;18360
SANCERGUES;18140
SANCOINS;18600
SAUGY;18290
SAULZAIS LE POTIER;18360
SENS BEAUJEU;18300
SERRUELLES;18190
SIDIAILLES;18270
THAUVENAY;18300
TROUY;18570
VEREAUX;18600
VIGNOUX SUR BARANGEON;18500
VILLABON;18800
VILLEGENON;18260
VORNAY;18130
LES ANGLES SUR CORREZE;19000
CAMPS ST MATHURIN LEOBAZEL;19430
CHAMBOULIVE;19450
CHAMPAGNAC LA NOAILLE;19320
CHAUFFOUR SUR VELL;19500
CHAUMEIL;19390
CONDAT SUR GANAVEIX;19140
EYGURANDE;19340
FAVARS;19330
FORGES;19380
GOULLES;19430
GROS CHASTANG;19320
LE JARDIN;19300
LAVAL SUR LUZEGE;19550
PANDRIGNES;19150
PEYRELEVADE;19290
ROCHE LE PEYROUX;19160
ST AULAIRE;19130
ST BONNET L ENFANTIER;19410
ST BONNET PRES BORT;19200
ST FREJOUX;19200
ST HILAIRE LUC;19160
ST JULIEN LE PELERIN;19430
ST MARTIAL DE GIMEL;19150
ST MARTIN SEPERT;19210
ST PANTALEON DE LARCHE;19600
ST PRIEST DE GIMEL;19800
ST ROBERT;19310
ST SETIERS;19290
ST VICTOUR;19200
SERANDON;19160
SEXCLES;19430
USSEL;19200
USSEL;19200
UZERCHE;19140
VALIERGUES;19200
VEIX;19260
VEYRIERES;19200
VOUTEZAC;19130
AGENCOURT;21700
AISEY SUR SEINE;21400
ALISE STE REINE;21150
ALLEREY;21230
AMPILLY LE SEC;21400
ANCEY;21410
AUBIGNY LA RONCE;21340
AUVILLARS SUR SAONE;21250
BAUBIGNY;21340
BENEUVRE;21290
LONZAC;17520
LUSSANT;17430
CAILLOUX SUR FONTAINES;69270
CENVES;69840
CHAMPAGNE AU MONT D OR;69410
